noc,noc_title,onetsoc_code
14201,"Banking, insurance and other financial clerks",43-9041.00
14202,Collection clerks,13-2081.00
14300,Library assistants and clerks,43-4121.00
14301,"Correspondence, publication and regulatory clerks",43-4021.00
14400,Shippers and receivers,43-5071.00
14401,Storekeepers and partspersons,53-7065.00
14402,Production logistics workers,43-5061.00
14403,Purchasing and inventory control workers,43-3061.00
14404,Dispatchers,43-2011.00
14404,Dispatchers,43-2021.00
14404,Dispatchers,43-2099.00
14404,Dispatchers,43-5031.00
14404,Dispatchers,43-5032.00
14405,Transportation route and crew schedulers,43-5032.00
20010,Engineering managers,11-9041.00
20011,Architecture and science managers,11-9041.00
20011,Architecture and science managers,11-9121.00
20012,Computer and information systems managers,11-3021.00
20012,Computer and information systems managers,15-1299.09
21100,Physicists and astronomers,19-2011.00
21100,Physicists and astronomers,19-2012.00
21100,Physicists and astronomers,19-2021.00
21100,Physicists and astronomers,19-2099.01
21101,Chemists,19-1012.00
21101,Chemists,19-1013.00
21101,Chemists,19-1021.00
21101,Chemists,19-2031.00
21102,Geoscientists and oceanographers,19-2042.00
21102,Geoscientists and oceanographers,19-2043.00
21103,Meteorologists and climatologists,19-2021.00
21109,Other professional occupations in physical sciences,19-2032.00
21109,Other professional occupations in physical sciences,19-2099.00
21110,Biologists and related scientists,19-1022.00
21110,Biologists and related scientists,19-1023.00
21110,Biologists and related scientists,19-1029.00
21110,Biologists and related scientists,19-1029.01
21110,Biologists and related scientists,19-1029.02
21110,Biologists and related scientists,19-1029.03
21110,Biologists and related scientists,19-1029.04
21110,Biologists and related scientists,19-1031.03
21110,Biologists and related scientists,19-1041.00
21110,Biologists and related scientists,19-1042.00
21110,Biologists and related scientists,19-1099.00
21110,Biologists and related scientists,19-2041.00
21110,Biologists and related scientists,19-2041.03
21111,Forestry professionals,19-1032.00
21112,"Agricultural representatives, consultants and specialists",19-4012.00
21112,"Agricultural representatives, consultants and specialists",19-4012.01
21112,"Agricultural representatives, consultants and specialists",19-4013.00
21112,"Agricultural representatives, consultants and specialists",45-2041.00
21120,Public and environmental health and safety professionals,13-1041.01
21120,Public and environmental health and safety professionals,17-2011.00
21120,Public and environmental health and safety professionals,19-5011.00
21120,Public and environmental health and safety professionals,19-5012.00
21200,Architects,17-1011.00
21201,Landscape architects,17-1012.00
21202,Urban and land use planners,19-3051.00
21202,Urban and land use planners,19-3099.01
21203,Land surveyors,17-1022.00
21203,Land surveyors,17-1022.01
21210,"Mathematicians, statisticians and actuaries",15-2011.00
21210,"Mathematicians, statisticians and actuaries",15-2021.00
21210,"Mathematicians, statisticians and actuaries",15-2031.00
21210,"Mathematicians, statisticians and actuaries",15-2041.00
21210,"Mathematicians, statisticians and actuaries",15-2041.01
21210,"Mathematicians, statisticians and actuaries",15-2099.00
21211,Data scientists,15-1221.00
21211,Data scientists,15-2051.00
21211,Data scientists,15-2051.01
21220,Cybersecurity specialists,15-1212.00
21220,Cybersecurity specialists,15-1299.04
21220,Cybersecurity specialists,15-1299.05
21220,Cybersecurity specialists,15-1299.06
21221,Business systems specialists,13-1199.04
21221,Business systems specialists,15-1211.00
21222,Information systems specialists,15-1211.00
21222,Information systems specialists,15-1253.00
21223,Database analysts and data administrators,15-1242.00
21223,Database analysts and data administrators,15-1243.00
21223,Database analysts and data administrators,15-1243.01
21223,Database analysts and data administrators,19-3022.00
21230,Computer systems developers and programmers,15-1243.00
21230,Computer systems developers and programmers,15-1251.00
21230,Computer systems developers and programmers,51-9162.00
21231,Software engineers and designers,15-1252.00
21232,Software developers and programmers,15-1251.00
21233,Web designers,15-1255.00
21233,Web designers,15-1299.01
21234,Web developers and programmers,15-1251.00
21234,Web developers and programmers,15-1254.00
21300,Civil engineers,11-9121.02
21300,Civil engineers,17-2051.00
21300,Civil engineers,17-2051.01
21300,Civil engineers,17-3025.00
21301,Mechanical engineers,17-2141.00
21301,Mechanical engineers,17-2141.02
21301,Mechanical engineers,17-2199.05
21301,Mechanical engineers,17-2199.08
21310,Electrical and electronics engineers,17-2071.00
21310,Electrical and electronics engineers,17-2072.00
21310,Electrical and electronics engineers,17-2072.01
21311,Computer engineers (except software engineers and designers),15-1299.08
21311,Computer engineers (except software engineers and designers),17-2061.00
21320,Chemical engineers,17-2031.00
21320,Chemical engineers,17-2041.00
21320,Chemical engineers,17-2141.01
21321,Industrial and manufacturing engineers,17-2111.00
21321,Industrial and manufacturing engineers,17-2111.02
21321,Industrial and manufacturing engineers,17-2112.00
21321,Industrial and manufacturing engineers,17-2112.03
21322,Metallurgical and materials engineers,17-2131.00
21330,Mining engineers,17-2151.00
21331,Geological engineers,17-2151.00
21332,Petroleum engineers,17-2171.00
21390,Aerospace engineers,17-2011.00
21399,Other professional engineers,13-1081.01
21399,Other professional engineers,17-2021.00
21399,Other professional engineers,17-2031.00
21399,Other professional engineers,17-2111.00
21399,Other professional engineers,17-2112.02
21399,Other professional engineers,17-2121.00
21399,Other professional engineers,17-2161.00
21399,Other professional engineers,17-2199.00
21399,Other professional engineers,17-2199.03
21399,Other professional engineers,17-2199.06
21399,Other professional engineers,17-2199.07
21399,Other professional engineers,17-2199.09
21399,Other professional engineers,17-2199.10
21399,Other professional engineers,17-2199.11
22100,Chemical technologists and technicians,17-3026.01
22100,Chemical technologists and technicians,17-3028.00
22100,Chemical technologists and technicians,17-3029.00
22100,Chemical technologists and technicians,17-3029.08
22100,Chemical technologists and technicians,19-4031.00
22100,Chemical technologists and technicians,19-4092.00
22101,Geological and mineral technologists and technicians,19-4042.00
22101,Geological and mineral technologists and technicians,19-4043.00
22101,Geological and mineral technologists and technicians,19-4043.00
22101,Geological and mineral technologists and technicians,19-4044.00
22110,Biological technologists and technicians,19-4021.00
22110,Biological technologists and technicians,19-4092.00
22111,Agricultural and fish products inspectors,45-2011.00
22112,Forestry technologists and technicians,19-1031.02
22112,Forestry technologists and technicians,19-4071.00
22112,Forestry technologists and technicians,33-1021.00
22113,Conservation and fishery officers,19-1031.00
22113,Conservation and fishery officers,19-1031.00
22113,Conservation and fishery officers,19-2041.01
22113,Conservation and fishery officers,19-2041.02
22113,Conservation and fishery officers,19-4071.00
22113,Conservation and fishery officers,33-3031.00
22114,Landscape and horticulture technicians and specialists,37-3011.00
22210,Architectural technologists and technicians,17-3011.00
22210,Architectural technologists and technicians,17-3011.00
22210,Architectural technologists and technicians,17-3011.00
22211,Industrial designers,27-1021.00
22212,Drafting technologists and technicians,17-3011.00
22212,Drafting technologists and technicians,17-3011.00
22212,Drafting technologists and technicians,17-3011.00
22212,Drafting technologists and technicians,17-3012.00
22212,Drafting technologists and technicians,17-3012.00
22212,Drafting technologists and technicians,17-3012.00
22212,Drafting technologists and technicians,17-3013.00
22213,Land survey technologists and technicians,17-3031.00
22213,Land survey technologists and technicians,17-3031.00
22214,Technical occupations in geomatics and meteorology,15-1299.02
22214,Technical occupations in geomatics and meteorology,15-1299.02
